NO;UNIT NAME;MAKER/PRODUCT;UNIT TYPE;UNIT CODE NUMBER;UNIT SERIAL NUMBER;ENGINE MODEL;ENGINE MNEMONIC;ENGINE SERIAL NUMBER
1;GR;KOMATSU;GD825A-2;GR356;12428;S6D140E-2;KOMATSU;VA-30512
2;GR;KOMATSU;GD825A-2;GR357;12429;S6D140E-2;KOMATSU;ZE-40166
3;GR;KOMATSU;GD825A-2;GR370;12513;S6D140E-2;KOMATSU;LP-39985
4;GR;KOMATSU;GD825A-2;GR373;12519;S6D140E-2;KOMATSU;C1-EN32688
5;GR;KOMATSU;GD825A-2;GR374;12520;S6D140E-2;KOMATSU;VJ-39348
6;GR;KOMATSU;GD825A-2;GR375;12523;S6D140E-2;KOMATSU;QK-37011
7;GR;KOMATSU;GD825A-2;GR385;12541;S6D140E-2;KOMATSU;VJ-42233
8;GR;KOMATSU;GD825A-2;GR395;12581;S6D140E-2;KOMATSU;C1-EN41104
9;GR;KOMATSU;GD825A-2;GR420;12637;S6D140E-2;KOMATSU;42360
10;GR;KOMATSU;GD825A-2;GR433;12705;S6D140E-2;KOMATSU;C1-HS-38451
11;GR;KOMATSU;GD825A-2;GR454;12797;S6D140E-2;KOMATSU;YF-41054
12;GR;KOMATSU;GD825A-2;GR458;12816;S6D140E-2;KOMATSU;UB-35129
13;GR;KOMATSU;GD825A-2;GR459;12817;S6D140E-2;KOMATSU;UB-38068
14;GR;KOMATSU;GD825A-2;GR461;12826;S6D140E-2;KOMATSU;YF-41024
15;GR;KOMATSU;GD825A-2;GR462;12827;S6D140E-2;KOMATSU;YF-40328
16;GR;KOMATSU;GD825A-2;GR587;13476;S6D140E-2;KOMATSU;44041
17;GR;KOMATSU;GD825A-2;GR589;13499;S6D140E-2;KOMATSU;0
18;GR;KOMATSU;GD825A-2;GR590;13500;S6D140E-2;KOMATSU;44134
19;GR;KOMATSU;GD825A-2;GR593;13512;S6D140E-2;KOMATSU;44171
20;GR;KOMATSU;GD825A-2;GR596;13518;S6D140E-2;KOMATSU;44182
21;GR;KOMATSU;GD825A-2;GR597;13523;S6D140E-2;KOMATSU;44204
22;GR;KOMATSU;GD825A-2;GR598;13526;S6D140E-2;KOMATSU;0
23;WL;KOMATSU;WA600-3;WL423;52520;SAA6D170E-3;KOMATSU;JY-319764
24;WL;KOMATSU;WA600-3;WL426;52573;SAA6D170E-3;KOMATSU;319820
25;WL;KOMATSU;WA380;WL253;54784;S6D108-1;KOMATSU;39944RD
