No.;Stock Code VDC;Stock Code VDC Claim;Picture;Item Description;Mnemonic;Part Number;Type of Item;Supplier;Suupplier Address;UOI; Price Damage Core ; Price Product  Genuine ; Price Total ;Time Guarantee;Claim Methode;JENIS SC
1;2229797;262816;;16 PCS POWER LED 12V-24V AMBER,;NIGHTBRK;355245A;LED;ASIAREP, PT;JAKARTA;EACH;Rp1.291.580,00;Rp1.291.580,00;Rp1.291.580,00;1;CWP;GENUINE
2;1859297;2000081;;LED LAMP;ALLMAKES;MIL-RXP 2060;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp9.436.095,00;Rp9.436.095,00;Rp9.436.095,00;4;CWP;GENUINE
3;1637537;1966266;;LED LAMP;ALLMAKES;AM-PL4X4FA;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.587.878,00;Rp1.587.878,00;Rp1.587.878,00;4;CWP;GENUINE
4;1527829;1969336;;LED LOADING LAMP, CLEAR/FLOOD;ABL;A500F-5LED;LED;CBC INDONESIA, PT;JAKARTA TIMUR;EACH;Rp2.188.080,00;Rp2.188.080,00;Rp2.188.080,00;3;CWP;GENUINE
5;1774835;1969351;;LED LOADING LAMP, FLOOD;ABL;LED3000-500-MVF;LED;CBC INDONESIA, PT;JAKARTA TIMUR;EACH;Rp4.011.480,00;Rp4.011.480,00;Rp4.011.480,00;3;CWP;GENUINE
6;1527811;1967926;;LED LOADING LAMP, FOG/YELLOW;ABL;A500FOG-5LED;LED;CBC INDONESIA, PT;JAKARTA TIMUR;EACH;Rp2.188.080,00;Rp2.188.080,00;Rp2.188.080,00;3;CWP;GENUINE
7;2013498;2041200;;"LED WORK LAMP; 8 LED LAMP, FLUX 1200 LUMEN, 16W,, FLOOD";ABL;C700LED1200-F;LED;CBC INDONESIA, PT;JAKARTA TIMUR;EACH;Rp1.337.160,00;Rp1.337.160,00;Rp1.337.160,00;3;CWP;GENUINE
8;1393552;233274;;LED REAR COMBINATION LAMP LH;ALLMAKES;AM-AE04-498LH;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.804.406,00;Rp1.804.406,00;Rp1.804.406,00;1;CWP;GENUINE
9;1913581;2061166;;LED STROBE LAMP AMBER;ALLMAKES;AM-PL4223-AH;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.631.183,00;Rp1.631.183,00;Rp1.631.183,00;4;CWP;GENUINE
10;1469667;2011955;;LED STROBE LAMP BLUE;ALLMAKES;AM-PL4223-BH;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.631.183,00;Rp1.631.183,00;Rp1.631.183,00;4;CWP;GENUINE
